ID,Date,Time,Category,Details,Image Path,id,date,time,class,details,image_path
82.0,"March 24, 2025",11:19 AM,Cheating,Cheating detected with 0.46 confidence,cheating_frames/Cheating_2025-03-24_11-19-49.jpg,,,,,,
83.0,"March 24, 2025",11:19 AM,Normal,Normal detected with 0.47 confidence,cheating_frames/Normal_2025-03-24_11-19-49.jpg,,,,,,
84.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.79 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-51.jpg,,,,,,
85.0,"March 24, 2025",11:19 AM,Giving Cheats,Giving Cheats detected with 0.44 confidence,cheating_frames/Giving Cheats_2025-03-24_11-19-53.jpg,,,,,,
86.0,"March 24, 2025",11:19 AM,Hand Gesture,Hand Gesture detected with 0.42 confidence,cheating_frames/Hand Gesture_2025-03-24_11-19-53.jpg,,,,,,
87.0,"March 24, 2025",11:19 AM,Mobile Detected,Mobile Detected detected with 0.48 confidence,cheating_frames/Mobile Detected_2025-03-24_11-19-56.jpg,,,,,,
88.0,"March 24, 2025",11:19 AM,Giving Cheats,Giving Cheats detected with 0.60 confidence,cheating_frames/Giving Cheats_2025-03-24_11-19-59.jpg,,,,,,
89.0,"March 24, 2025",11:20 AM,Cheating,Cheating detected with 0.68 confidence,cheating_frames/Cheating_2025-03-24_11-20-00.jpg,,,,,,
90.0,"March 24, 2025",11:20 AM,Normal,Normal detected with 0.40 confidence,cheating_frames/Normal_2025-03-24_11-20-01.jpg,,,,,,
91.0,"March 24, 2025",11:20 AM,Mobile Detected,Mobile Detected detected with 0.62 confidence,cheating_frames/Mobile Detected_2025-03-24_11-20-01.jpg,,,,,,
92.0,"March 24, 2025",11:20 AM,Giving Cheats,Giving Cheats detected with 0.53 confidence,cheating_frames/Giving Cheats_2025-03-24_11-20-04.jpg,,,,,,
93.0,"March 24, 2025",11:20 AM,Mobile Detected,Mobile Detected detected with 0.45 confidence,cheating_frames/Mobile Detected_2025-03-24_11-20-06.jpg,,,,,,
94.0,"March 24, 2025",11:20 AM,Cheating,Cheating detected with 0.73 confidence,cheating_frames/Cheating_2025-03-24_11-20-11.jpg,,,,,,
95.0,"March 24, 2025",11:20 AM,Giving Cheats,Giving Cheats detected with 0.55 confidence,cheating_frames/Giving Cheats_2025-03-24_11-20-11.jpg,,,,,,
96.0,"March 24, 2025",11:20 AM,Mobile Detected,Mobile Detected detected with 0.43 confidence,cheating_frames/Mobile Detected_2025-03-24_11-20-12.jpg,,,,,,
97.0,"April 08, 2025",01:52 PM,Mobile Detected,Mobile Detected detected with 0.43 confidence,cheating_frames/Mobile Detected_2025-04-08_13-52-20.jpg,,,,,,
98.0,"April 08, 2025",01:52 PM,Cheating,Cheating detected with 0.56 confidence,cheating_frames/Cheating_2025-04-08_13-52-27.jpg,,,,,,
99.0,"April 08, 2025",01:52 PM,Mobile Detected,Mobile Detected detected with 0.50 confidence,cheating_frames/Mobile Detected_2025-04-08_13-52-32.jpg,,,,,,
100.0,"April 08, 2025",01:52 PM,Mobile Detected,Mobile Detected detected with 0.61 confidence,cheating_frames/Mobile Detected_2025-04-08_13-52-39.jpg,,,,,,
101.0,"April 08, 2025",01:52 PM,Mobile Detected,Mobile Detected detected with 0.43 confidence,cheating_frames/Mobile Detected_2025-04-08_13-52-44.jpg,,,,,,
102.0,"April 08, 2025",01:55 PM,Cheating,Cheating detected with 0.50 confidence,cheating_frames/Cheating_2025-04-08_13-55-04.jpg,,,,,,
103.0,"April 08, 2025",01:55 PM,Cheating,Cheating detected with 0.56 confidence,cheating_frames/Cheating_2025-04-08_13-55-11.jpg,,,,,,
104.0,"April 08, 2025",01:55 PM,Cheating,Cheating detected with 0.52 confidence,cheating_frames/Cheating_2025-04-08_13-55-17.jpg,,,,,,
105.0,"April 08, 2025",01:55 PM,Cheating,Cheating detected with 0.53 confidence,cheating_frames/Cheating_2025-04-08_13-55-22.jpg,,,,,,
106.0,"April 08, 2025",01:58 PM,Cheating,Cheating detected with 0.81 confidence,cheating_frames/Cheating_2025-04-08_13-58-05.jpg,,,,,,
107.0,"April 08, 2025",01:58 PM,Cheating,Cheating detected with 0.81 confidence,cheating_frames/Cheating_2025-04-08_13-58-11.jpg,,,,,,
108.0,"April 08, 2025",01:58 PM,Cheating,Cheating detected with 0.47 confidence,cheating_frames/Cheating_2025-04-08_13-58-18.jpg,,,,,,
109.0,"April 08, 2025",01:58 PM,Hand Gesture,Hand Gesture detected with 0.66 confidence,cheating_frames/Hand Gesture_2025-04-08_13-58-29.jpg,,,,,,
110.0,"April 08, 2025",01:58 PM,Cheating,Cheating detected with 0.63 confidence,cheating_frames/Cheating_2025-04-08_13-58-35.jpg,,,,,,
111.0,"April 08, 2025",01:58 PM,Hand Gesture,Hand Gesture detected with 0.50 confidence,cheating_frames/Hand Gesture_2025-04-08_13-58-36.jpg,,,,,,
112.0,"April 08, 2025",01:59 PM,sleep,sleep detected with 0.45 confidence,cheating_frames/sleep_2025-04-08_13-59-03.jpg,,,,,,
113.0,"April 08, 2025",01:59 PM,Hand Gesture,Hand Gesture detected with 0.42 confidence,cheating_frames/Hand Gesture_2025-04-08_13-59-11.jpg,,,,,,
114.0,"April 08, 2025",02:01 PM,Cheating,Cheating detected with 0.44 confidence,cheating_frames/Cheating_2025-04-08_14-01-04.jpg,,,,,,
115.0,"April 08, 2025",02:01 PM,Normal,Normal detected with 0.46 confidence,cheating_frames/Normal_2025-04-08_14-01-07.jpg,,,,,,
116.0,"April 08, 2025",02:01 PM,Cheating,Cheating detected with 0.47 confidence,cheating_frames/Cheating_2025-04-08_14-01-09.jpg,,,,,,
117.0,"April 08, 2025",02:05 PM,Cheating,Cheating detected with 0.59 confidence,cheating_frames/Cheating_2025-04-08_14-05-06.jpg,,,,,,
118.0,"April 08, 2025",02:05 PM,Mobile Detected,Mobile Detected detected with 0.73 confidence,cheating_frames/Mobile Detected_2025-04-08_14-05-10.jpg,,,,,,
119.0,"April 08, 2025",02:05 PM,Mobile Detected,Mobile Detected detected with 0.46 confidence,cheating_frames/Mobile Detected_2025-04-08_14-05-28.jpg,,,,,,
120.0,"April 08, 2025",02:05 PM,Normal,Normal detected with 0.44 confidence,cheating_frames/Normal_2025-04-08_14-05-29.jpg,,,,,,
121.0,"April 08, 2025",02:05 PM,Mobile Detected,Mobile Detected detected with 0.55 confidence,cheating_frames/Mobile Detected_2025-04-08_14-05-34.jpg,,,,,,
122.0,"April 08, 2025",02:17 PM,Mobile Detected,Mobile Detected detected with 0.66 confidence,cheating_frames/Mobile Detected_2025-04-08_14-17-55.jpg,,,,,,
123.0,"April 08, 2025",02:17 PM,Normal,Normal detected with 0.58 confidence,cheating_frames/Normal_2025-04-08_14-17-55.jpg,,,,,,
124.0,"April 08, 2025",02:18 PM,Mobile Detected,Mobile Detected detected with 0.61 confidence,cheating_frames/Mobile Detected_2025-04-08_14-18-06.jpg,,,,,,
125.0,"April 08, 2025",02:18 PM,Mobile Detected,Mobile Detected detected with 0.41 confidence,cheating_frames/Mobile Detected_2025-04-08_14-18-11.jpg,,,,,,
126.0,"April 08, 2025",02:19 PM,Cheating,Cheating detected with 0.51 confidence,cheating_frames/Cheating_2025-04-08_14-19-19.jpg,,,,,,
127.0,"April 08, 2025",02:19 PM,Cheating,Cheating detected with 0.44 confidence,cheating_frames/Cheating_2025-04-08_14-19-26.jpg,,,,,,
128.0,"April 08, 2025",02:19 PM,Normal,Normal detected with 0.45 confidence,cheating_frames/Normal_2025-04-08_14-19-30.jpg,,,,,,
129.0,"April 08, 2025",02:22 PM,Cheating,Cheating detected with 0.44 confidence,cheating_frames/Cheating_2025-04-08_14-22-21.jpg,,,,,,
130.0,"April 08, 2025",02:22 PM,Mobile Detected,Mobile Detected detected with 0.45 confidence,cheating_frames/Mobile Detected_2025-04-08_14-22-25.jpg,,,,,,
131.0,"April 08, 2025",02:22 PM,Mobile Detected,Mobile Detected detected with 0.45 confidence,cheating_frames/Mobile Detected_2025-04-08_14-22-31.jpg,,,,,,
132.0,"April 08, 2025",02:22 PM,Cheating,Cheating detected with 0.47 confidence,cheating_frames/Cheating_2025-04-08_14-22-37.jpg,,,,,,
133.0,"April 08, 2025",02:22 PM,Normal,Normal detected with 0.42 confidence,cheating_frames/Normal_2025-04-08_14-22-39.jpg,,,,,,
134.0,"April 08, 2025",02:22 PM,Mobile Detected,Mobile Detected detected with 0.56 confidence,cheating_frames/Mobile Detected_2025-04-08_14-22-43.jpg,,,,,,
135.0,"April 08, 2025",02:22 PM,Cheating,Cheating detected with 0.41 confidence,cheating_frames/Cheating_2025-04-08_14-22-48.jpg,,,,,,
136.0,"April 08, 2025",02:22 PM,Cheating,Cheating detected with 0.40 confidence,cheating_frames/Cheating_2025-04-08_14-22-53.jpg,,,,,,
137.0,"April 08, 2025",02:22 PM,Mobile Detected,Mobile Detected detected with 0.40 confidence,cheating_frames/Mobile Detected_2025-04-08_14-22-56.jpg,,,,,,
138.0,"April 08, 2025",02:23 PM,Cheating,Cheating detected with 0.48 confidence,cheating_frames/Cheating_2025-04-08_14-23-12.jpg,,,,,,
139.0,"April 08, 2025",02:23 PM,Cheating,Cheating detected with 0.56 confidence,cheating_frames/Cheating_2025-04-08_14-23-17.jpg,,,,,,
140.0,"April 08, 2025",02:23 PM,Cheating,Cheating detected with 0.44 confidence,cheating_frames/Cheating_2025-04-08_14-23-28.jpg,,,,,,
141.0,"April 08, 2025",02:23 PM,Mobile Detected,Mobile Detected detected with 0.45 confidence,cheating_frames/Mobile Detected_2025-04-08_14-23-34.jpg,,,,,,
142.0,"April 08, 2025",02:23 PM,Cheating,Cheating detected with 0.48 confidence,cheating_frames/Cheating_2025-04-08_14-23-35.jpg,,,,,,
143.0,"April 08, 2025",02:23 PM,Normal,Normal detected with 0.74 confidence,cheating_frames/Normal_2025-04-08_14-23-55.jpg,,,,,,
144.0,"April 08, 2025",02:23 PM,Cheating,Cheating detected with 0.49 confidence,cheating_frames/Cheating_2025-04-08_14-23-58.jpg,,,,,,
145.0,"April 08, 2025",02:24 PM,Mobile Detected,Mobile Detected detected with 0.59 confidence,cheating_frames/Mobile Detected_2025-04-08_14-24-07.jpg,,,,,,
146.0,"April 08, 2025",02:26 PM,Cheating,Cheating detected with 0.49 confidence,cheating_frames/Cheating_2025-04-08_14-26-07.jpg,,,,,,
